"Month Day, Year Code",Avg Fine Particulate Matter (ľg/mł),Typical?
2005/10/11,10.78,1
2005/10/12,14.32,1
2005/10/13,11.77,1
2005/10/14,11.64,1
2005/10/15,6.2,1
2005/10/16,5.11,1
2005/10/17,13.17,1
2005/10/18,8.71,1
2005/10/19,10.68,1
2005/10/20,13.69,1
2005/10/21,23.88,0
2005/10/22,25.99,0
2005/10/23,15.26,0
2005/10/24,11.56,1
2005/10/25,8.35,1
2005/10/26,9.14,1
2005/10/27,7.88,1
2005/10/28,9.03,1
2005/10/29,8.09,1
2005/10/30,11.55,1
2005/10/31,11.09,1
2005/11/01,16.56,0
2005/11/02,10.51,1
2005/11/03,10.19,1
2005/11/04,8.71,1
2005/11/05,14.99,1
2005/11/06,13.37,1
2005/11/07,20.23,0
2005/11/08,8.34,1
2005/11/09,12.92,1
2005/11/10,10.46,1
2005/11/11,8.69,1
2005/11/12,12.73,1
2005/11/13,17.62,0
2005/11/14,13.53,1
2005/11/15,10.25,1
2005/11/16,13.52,1
2005/11/17,17.92,0
2005/11/18,21.7,0
2005/11/19,24.32,0
2005/11/20,24.19,0
2005/11/21,26.09,0
2005/11/22,29.75,0
2005/11/23,32.93,0
2005/11/24,25.22,0
2005/11/25,26.36,0
2005/11/26,6.99,1
2005/11/27,14.67,1
